run,entry,whale,ls,ma30,depl_pct,actual,long_ana_fire,correct_long
R2,66382.8,0.9467,0.8274,68262.76,-2.754,DOWN,False,False
R3,65989.1,0.9559,1.0561,68111.23,-3.116,UP,True,True
R4,66578.0,0.9529,1.0632,67992.91,-2.081,UP,True,True
R5,67276.8,1.0049,0.5292,67642.74,-0.541,DOWN,False,False
R6,66935.6,0.9966,1.0824,67498.17,-0.833,UP,True,True
R7,66728.0,1.0163,1.5495,67063.46,-0.500,UP,True,True
R8,67340.0,1.0184,0.7864,66928.61,0.615,DOWN,False,False
R9,66380.5,1.0306,0.9872,67217.02,-1.245,UP,True,True
R10,68082.0,1.0376,0.7541,67237.22,1.256,UP,False,True
R11,68235.0,1.0344,1.0625,67231.49,1.493,UP,True,True
R12,67893.0,1.0241,0.7728,67240.77,0.970,UP,False,True
R13,68492.0,0.8528,1.401,66928.61,2.336,DOWN,False,False
R14,68327.4,0.8513,1.429,67088.33,1.847,DOWN,False,False
R15,66303.1,0.9394,2.117,67237.22,-1.389,UP,True,True
R16,66079.9,0.9471,2.148,67237.22,-1.721,UP,True,True
R17,66776.8,0.8868,1.803,67260.06,-0.718,BELIRSIZ,True,
R18,66992.3,0.8832,1.74,67270.27,-0.413,BELIRSIZ,True,
R19,66874.4,0.8821,1.737,67288.16,-0.615,BELIRSIZ,True,
R20,66907.6,0.8817,1.734,67319.90,-0.612,BELIRSIZ,True,
R21,67082.5,0.8713,1.647,67270.66,-0.280,BELIRSIZ,True,
R22,67290.0,0.8507,1.587,67287.78,0.003,BELIRSIZ,False,
R23,67227.4,0.8483,1.565,67287.78,-0.090,DOWN,False,False
R24,66961.0,0.8529,1.572,67278.22,-0.472,UP,False,True
R25,67190.8,1.5833,1.585,67281.50,-0.135,UP,True,True
R26,69239.3,1.0734,1.068,67383.71,2.754,UP,True,True
R27,69679.8,,1.038,67418.56,3.354,DOWN,False,False
R28,69083.0,,1.0,67568.57,2.241,DOWN,False,False
R29,68024.0,,1.0,67696.38,0.484,UP,False,True
R30,68023.8,0.9428,0.8577,67808.40,0.318,UP,True,True
R31,72421.1,0.9611,1.7124,68441.78,5.814,UP,True,True
R32,71610.5,1.0448,1.0094,68441.78,4.630,DOWN,True,False
R33,72027.8,1.0393,1.0027,69437.10,3.731,UP,True,True
R34,71738.8,1.0511,1.0205,70059.44,2.397,UP,True,True
R35,72300.6,1.0495,0.9878,70230.10,2.948,UP,True,True
R36,72833.0,1.0423,1.152,70401.73,3.453,UP,True,True
R37,70812.0,1.0001,1.1781,71644.99,-1.163,DOWN,True,False
R38,71054.2,1.0441,1.3225,71869.73,-1.135,UP,True,True
R39,73992.0,0.897,0.9729,72755.09,1.700,UP,True,True
R40,75980.2,0.8119,0.7869,75087.18,1.189,DOWN,False,False
R41,75000.0,0.7821,1.4494,75306.26,-0.407,UP,False,True
R42,74800.0,0.7751,1.0721,75479.06,-0.900,UP,False,True
